RemoteWork,avg_hourly_salary,total_budget,avg_hourly_low,avg_hourly_high
Onsite,25.373427937733602,107985969.0,15.956696923645623,34.79015895182158
Remote,30.90979381443299,801631.0,19.936671575846834,41.882916053019144
